nflores 43303 Wed Mar  8 22:36:20 2017

Avatar id: 0; (x,y) = (12, 59); move = 2 
Avatar id: 1; (x,y) = (71, 53); move = 3 
Avatar id: 2; (x,y) = (56, 59); move = 0 
Avatar id: 3; (x,y) = (8, 91); move = 0 
Avatar id: 0; (x,y) = (12, 62); move = 2 
Avatar id: 1; (x,y) = (72, 53); move = 1 
Avatar id: 2; (x,y) = (56, 59); move = 1 
Avatar id: 3; (x,y) = (7, 91); move = 2 
Avatar id: 0; (x,y) = (12, 63); move = 3 
Avatar id: 1; (x,y) = (72, 53); move = 3 
Avatar id: 2; (x,y) = (56, 58); move = 0 
Avatar id: 3; (x,y) = (7, 91); move = 0 
Avatar id: 0; (x,y) = (12, 63); move = 2 
Avatar id: 1; (x,y) = (72, 53); move = 2 
Avatar id: 2; (x,y) = (56, 58); move = 1 
Avatar id: 3; (x,y) = (7, 91); move = 1 
Avatar id: 0; (x,y) = (12, 63); move = 0 
Avatar id: 1; (x,y) = (72, 54); move = 3 
Avatar id: 2; (x,y) = (56, 57); move = 0 
Avatar id: 3; (x,y) = (7, 90); move = 0 
Avatar id: 0; (x,y) = (11, 63); move = 2 
Avatar id: 1; (x,y) = (72, 54); move = 2 
Avatar id: 2; (x,y) = (55, 57); move = 2 
Avatar id: 3; (x,y) = (6, 90); move = 2 
Avatar id: 0; (x,y) = (11, 63); move = 0 
Avatar id: 1; (x,y) = (72, 55); move = 3 
Avatar id: 2; (x,y) = (55, 57); move = 0 
Avatar id: 3; (x,y) = (6, 91); move = 3 
Avatar id: 0; (x,y) = (11, 63); move = 1 
Avatar id: 1; (x,y) = (72, 55); move = 2 
Avatar id: 2; (x,y) = (55, 57); move = 1 
Avatar id: 3; (x,y) = (6, 91); move = 2 
Avatar id: 0; (x,y) = (11, 63); move = 3 
Avatar id: 1; (x,y) = (72, 55); move = 0 
Avatar id: 2; (x,y) = (55, 56); move = 0 
Avatar id: 3; (x,y) = (6, 91); move = 0 
Avatar id: 0; (x,y) = (12, 63); move = 1 
Avatar id: 1; (x,y) = (71, 55); move = 2 
Avatar id: 2; (x,y) = (54, 56); move = 2 
Avatar id: 3; (x,y) = (6, 91); move = 1 
Avatar id: 0; (x,y) = (12, 62); move = 0 
Avatar id: 1; (x,y) = (71, 56); move = 3 
Avatar id: 2; (x,y) = (54, 57); move = 3 
Avatar id: 3; (x,y) = (6, 90); move = 0 
Avatar id: 0; (x,y) = (11, 62); move = 2 
Avatar id: 1; (x,y) = (72, 56); move = 1 
Avatar id: 2; (x,y) = (54, 57); move = 2 
Avatar id: 3; (x,y) = (6, 90); move = 1 
Avatar id: 0; (x,y) = (11, 62); move = 0 
Avatar id: 1; (x,y) = (72, 56); move = 3 
Avatar id: 2; (x,y) = (54, 58); move = 3 
Avatar id: 3; (x,y) = (6, 90); move = 3 
Avatar id: 0; (x,y) = (10, 62); move = 2 
Avatar id: 1; (x,y) = (73, 56); move = 1 
Avatar id: 2; (x,y) = (55, 58); move = 1 
Avatar id: 3; (x,y) = (7, 90); move = 1 
Avatar id: 0; (x,y) = (10, 62); move = 0 
Avatar id: 1; (x,y) = (73, 56); move = 3 
Avatar id: 2; (x,y) = (55, 58); move = 3 
Avatar id: 3; (x,y) = (7, 90); move = 3 
Avatar id: 0; (x,y) = (9, 62); move = 2 
Avatar id: 1; (x,y) = (73, 56); move = 2 
Avatar id: 2; (x,y) = (55, 58); move = 2 
Avatar id: 3; (x,y) = (7, 90); move = 2 
Avatar id: 0; (x,y) = (9, 62); move = 0 
Avatar id: 1; (x,y) = (73, 57); move = 3 
Avatar id: 2; (x,y) = (55, 58); move = 0 
Avatar id: 3; (x,y) = (7, 91); move = 3 
Avatar id: 0; (x,y) = (8, 62); move = 2 
Avatar id: 1; (x,y) = (73, 57); move = 2 
Avatar id: 2; (x,y) = (54, 58); move = 2 
Avatar id: 3; (x,y) = (8, 91); move = 1 
Avatar id: 0; (x,y) = (8, 63); move = 3 
Avatar id: 1; (x,y) = (73, 57); move = 0 
Avatar id: 2; (x,y) = (54, 58); move = 0 
Avatar id: 3; (x,y) = (8, 90); move = 0 
Avatar id: 0; (x,y) = (8, 63); move = 2 
Avatar id: 1; (x,y) = (72, 57); move = 2 
Avatar id: 2; (x,y) = (54, 58); move = 1 
Avatar id: 3; (x,y) = (8, 90); move = 1 
Avatar id: 0; (x,y) = (8, 63); move = 0 
Avatar id: 1; (x,y) = (72, 57); move = 0 
Avatar id: 2; (x,y) = (54, 57); move = 0 
Avatar id: 3; (x,y) = (8, 90); move = 3 
Avatar id: 0; (x,y) = (7, 63); move = 2 
Avatar id: 1; (x,y) = (71, 57); move = 2 
Avatar id: 2; (x,y) = (54, 57); move = 1 
Avatar id: 3; (x,y) = (9, 90); move = 1 
Avatar id: 0; (x,y) = (7, 64); move = 3 
Avatar id: 1; (x,y) = (71, 57); move = 0 
Avatar id: 2; (x,y) = (54, 56); move = 0 
Avatar id: 3; (x,y) = (9, 89); move = 0 
Avatar id: 0; (x,y) = (8, 64); move = 1 
Avatar id: 1; (x,y) = (70, 57); move = 2 
Avatar id: 2; (x,y) = (53, 56); move = 2 
Avatar id: 3; (x,y) = (8, 89); move = 2 
Avatar id: 0; (x,y) = (8, 64); move = 3 
Avatar id: 1; (x,y) = (70, 58); move = 3 
Avatar id: 2; (x,y) = (53, 56); move = 0 
Avatar id: 3; (x,y) = (8, 89); move = 0 
Avatar id: 0; (x,y) = (8, 64); move = 2 
Avatar id: 1; (x,y) = (71, 58); move = 1 
Avatar id: 2; (x,y) = (53, 56); move = 1 
Avatar id: 3; (x,y) = (8, 89); move = 1 
Avatar id: 0; (x,y) = (8, 64); move = 0 
Avatar id: 1; (x,y) = (71, 58); move = 3 
Avatar id: 2; (x,y) = (53, 56); move = 3 
Avatar id: 3; (x,y) = (8, 88); move = 0 
Avatar id: 0; (x,y) = (7, 64); move = 2 
Avatar id: 1; (x,y) = (71, 58); move = 2 
Avatar id: 2; (x,y) = (54, 56); move = 1 
Avatar id: 3; (x,y) = (8, 88); move = 1 
Avatar id: 0; (x,y) = (7, 65); move = 3 
Avatar id: 1; (x,y) = (71, 59); move = 3 
Avatar id: 2; (x,y) = (54, 55); move = 0 
Avatar id: 3; (x,y) = (8, 88); move = 3 
Avatar id: 0; (x,y) = (7, 65); move = 2 
Avatar id: 1; (x,y) = (71, 59); move = 2 
Avatar id: 2; (x,y) = (54, 55); move = 1 
Avatar id: 3; (x,y) = (9, 88); move = 1 
Avatar id: 0; (x,y) = (7, 65); move = 0 
Avatar id: 1; (x,y) = (71, 59); move = 0 
Avatar id: 2; (x,y) = (54, 55); move = 3 
Avatar id: 3; (x,y) = (9, 87); move = 0 
Avatar id: 0; (x,y) = (6, 65); move = 2 
Avatar id: 1; (x,y) = (70, 59); move = 2 
Avatar id: 2; (x,y) = (55, 55); move = 1 
Avatar id: 3; (x,y) = (8, 87); move = 2 
Avatar id: 0; (x,y) = (6, 66); move = 3 
Avatar id: 1; (x,y) = (70, 59); move = 0 
Avatar id: 2; (x,y) = (55, 55); move = 3 
Avatar id: 3; (x,y) = (8, 87); move = 0 
Avatar id: 0; (x,y) = (7, 66); move = 1 
Avatar id: 1; (x,y) = (69, 59); move = 2 
Avatar id: 2; (x,y) = (55, 55); move = 2 
Avatar id: 3; (x,y) = (8, 87); move = 1 
Avatar id: 0; (x,y) = (7, 66); move = 3 
Avatar id: 1; (x,y) = (69, 60); move = 3 
Avatar id: 2; (x,y) = (55, 55); move = 0 
Avatar id: 3; (x,y) = (8, 86); move = 0 
Avatar id: 0; (x,y) = (7, 66); move = 2 
Avatar id: 1; (x,y) = (69, 60); move = 2 
Avatar id: 2; (x,y) = (54, 55); move = 2 
Avatar id: 3; (x,y) = (8, 86); move = 1 
Avatar id: 0; (x,y) = (7, 66); move = 0 
Avatar id: 1; (x,y) = (69, 61); move = 3 
Avatar id: 2; (x,y) = (54, 56); move = 3 
Avatar id: 3; (x,y) = (8, 86); move = 3 
Avatar id: 0; (x,y) = (6, 66); move = 2 
Avatar id: 1; (x,y) = (69, 61); move = 2 
Avatar id: 2; (x,y) = (55, 56); move = 1 
Avatar id: 3; (x,y) = (9, 86); move = 1 
Avatar id: 0; (x,y) = (6, 67); move = 3 
Avatar id: 1; (x,y) = (69, 62); move = 3 
Avatar id: 2; (x,y) = (55, 56); move = 3 
Avatar id: 3; (x,y) = (9, 85); move = 0 
Avatar id: 0; (x,y) = (6, 67); move = 2 
Avatar id: 1; (x,y) = (70, 62); move = 1 
Avatar id: 2; (x,y) = (55, 56); move = 2 
Avatar id: 3; (x,y) = (9, 85); move = 1 
Avatar id: 0; (x,y) = (6, 67); move = 0 
Avatar id: 1; (x,y) = (70, 61); move = 0 
Avatar id: 2; (x,y) = (55, 57); move = 3 
Avatar id: 3; (x,y) = (9, 84); move = 0 
Avatar id: 0; (x,y) = (5, 67); move = 2 
Avatar id: 1; (x,y) = (70, 61); move = 1 
Avatar id: 2; (x,y) = (56, 57); move = 1 
Avatar id: 3; (x,y) = (9, 84); move = 1 
Avatar id: 0; (x,y) = (5, 68); move = 3 
Avatar id: 1; (x,y) = (70, 61); move = 3 
Avatar id: 2; (x,y) = (56, 57); move = 3 
Avatar id: 3; (x,y) = (9, 83); move = 0 
Avatar id: 0; (x,y) = (5, 68); move = 2 
Avatar id: 1; (x,y) = (71, 61); move = 1 
Avatar id: 2; (x,y) = (56, 57); move = 2 
Avatar id: 3; (x,y) = (9, 83); move = 1 
Avatar id: 0; (x,y) = (5, 68); move = 0 
Avatar id: 1; (x,y) = (71, 61); move = 3 
Avatar id: 2; (x,y) = (56, 58); move = 3 
Avatar id: 3; (x,y) = (9, 82); move = 0 
Avatar id: 0; (x,y) = (4, 68); move = 2 
Avatar id: 1; (x,y) = (71, 61); move = 2 
Avatar id: 2; (x,y) = (57, 58); move = 1 
Avatar id: 3; (x,y) = (9, 82); move = 1 
Avatar id: 0; (x,y) = (4, 68); move = 0 
Avatar id: 1; (x,y) = (71, 62); move = 3 
Avatar id: 2; (x,y) = (57, 57); move = 0 
Avatar id: 3; (x,y) = (9, 82); move = 3 
Avatar id: 0; (x,y) = (4, 68); move = 1 
Avatar id: 1; (x,y) = (71, 62); move = 2 
Avatar id: 2; (x,y) = (57, 57); move = 1 
Avatar id: 3; (x,y) = (10, 82); move = 1 
Avatar id: 0; (x,y) = (4, 67); move = 0 
Avatar id: 1; (x,y) = (71, 63); move = 3 
Avatar id: 2; (x,y) = (57, 57); move = 3 
Avatar id: 3; (x,y) = (10, 81); move = 0 
Avatar id: 0; (x,y) = (4, 67); move = 1 
Avatar id: 1; (x,y) = (71, 63); move = 2 
Avatar id: 2; (x,y) = (58, 57); move = 1 
Avatar id: 3; (x,y) = (9, 81); move = 2 
Avatar id: 0; (x,y) = (4, 66); move = 0 
Avatar id: 1; (x,y) = (71, 64); move = 3 
Avatar id: 2; (x,y) = (58, 57); move = 3 
Avatar id: 3; (x,y) = (9, 81); move = 0 
Avatar id: 0; (x,y) = (4, 66); move = 1 
Avatar id: 1; (x,y) = (71, 64); move = 2 
Avatar id: 2; (x,y) = (59, 57); move = 1 
Avatar id: 3; (x,y) = (9, 81); move = 1 
Avatar id: 0; (x,y) = (4, 65); move = 0 
Avatar id: 1; (x,y) = (71, 65); move = 3 
Avatar id: 2; (x,y) = (59, 57); move = 3 
Avatar id: 3; (x,y) = (9, 81); move = 3 
Avatar id: 0; (x,y) = (4, 65); move = 1 
Avatar id: 1; (x,y) = (71, 65); move = 2 
Avatar id: 2; (x,y) = (59, 57); move = 2 
Avatar id: 3; (x,y) = (10, 81); move = 1 
Avatar id: 0; (x,y) = (4, 64); move = 0 
Avatar id: 1; (x,y) = (71, 66); move = 3 
Avatar id: 2; (x,y) = (59, 58); move = 3 
Avatar id: 3; (x,y) = (10, 81); move = 3 
Avatar id: 0; (x,y) = (4, 64); move = 1 
Avatar id: 1; (x,y) = (72, 66); move = 1 
Avatar id: 2; (x,y) = (60, 58); move = 1 
Avatar id: 3; (x,y) = (10, 81); move = 2 
Avatar id: 0; (x,y) = (4, 63); move = 0 
Avatar id: 1; (x,y) = (72, 66); move = 3 
Avatar id: 2; (x,y) = (60, 57); move = 0 
Avatar id: 3; (x,y) = (10, 82); move = 3 
Avatar id: 0; (x,y) = (4, 63); move = 1 
Avatar id: 1; (x,y) = (73, 66); move = 1 
Avatar id: 2; (x,y) = (60, 57); move = 1 
Avatar id: 3; (x,y) = (10, 82); move = 2 
Avatar id: 0; (x,y) = (4, 62); move = 0 
Avatar id: 1; (x,y) = (73, 66); move = 3 
Avatar id: 2; (x,y) = (60, 56); move = 0 
Avatar id: 3; (x,y) = (10, 83); move = 3 
Avatar id: 0; (x,y) = (3, 62); move = 2 
Avatar id: 1; (x,y) = (74, 66); move = 1 
Avatar id: 2; (x,y) = (60, 56); move = 1 
Avatar id: 3; (x,y) = (10, 83); move = 2 
Avatar id: 0; (x,y) = (3, 63); move = 3 
Avatar id: 1; (x,y) = (74, 65); move = 0 
Avatar id: 2; (x,y) = (60, 56); move = 3 
Avatar id: 3; (x,y) = (10, 83); move = 0 
Avatar id: 0; (x,y) = (3, 63); move = 2 
Avatar id: 1; (x,y) = (73, 65); move = 2 
Avatar id: 2; (x,y) = (61, 56); move = 1 
Avatar id: 3; (x,y) = (10, 83); move = 1 
Avatar id: 0; (x,y) = (3, 64); move = 3 
Avatar id: 1; (x,y) = (73, 65); move = 0 
Avatar id: 2; (x,y) = (61, 56); move = 3 
Avatar id: 3; (x,y) = (10, 82); move = 0 
Avatar id: 0; (x,y) = (3, 64); move = 2 
Avatar id: 1; (x,y) = (73, 65); move = 1 
Avatar id: 2; (x,y) = (62, 56); move = 1 
Avatar id: 3; (x,y) = (9, 82); move = 2 
Avatar id: 0; (x,y) = (3, 64); move = 0 
Avatar id: 1; (x,y) = (73, 64); move = 0 
Avatar id: 2; (x,y) = (62, 56); move = 3 
Avatar id: 3; (x,y) = (9, 83); move = 3 
Avatar id: 0; (x,y) = (2, 64); move = 2 
Avatar id: 1; (x,y) = (73, 64); move = 1 
Avatar id: 2; (x,y) = (62, 56); move = 2 
Avatar id: 3; (x,y) = (9, 83); move = 2 
Avatar id: 0; (x,y) = (2, 65); move = 3 
Avatar id: 1; (x,y) = (73, 64); move = 3 
Avatar id: 2; (x,y) = (62, 57); move = 3 
Avatar id: 3; (x,y) = (9, 84); move = 3 
Avatar id: 0; (x,y) = (2, 65); move = 2 
Avatar id: 1; (x,y) = (74, 64); move = 1 
Avatar id: 2; (x,y) = (62, 57); move = 2 
Avatar id: 3; (x,y) = (10, 84); move = 1 
Avatar id: 0; (x,y) = (2, 65); move = 0 
Avatar id: 1; (x,y) = (74, 63); move = 0 
Avatar id: 2; (x,y) = (62, 57); move = 0 
Avatar id: 3; (x,y) = (10, 84); move = 3 
Avatar id: 0; (x,y) = (1, 65); move = 2 
Avatar id: 1; (x,y) = (74, 63); move = 1 
Avatar id: 2; (x,y) = (61, 57); move = 2 
Avatar id: 3; (x,y) = (11, 84); move = 1 
Avatar id: 0; (x,y) = (1, 65); move = 0 
Avatar id: 1; (x,y) = (74, 62); move = 0 
Avatar id: 2; (x,y) = (61, 58); move = 3 
Avatar id: 3; (x,y) = (11, 83); move = 0 
Avatar id: 0; (x,y) = (1, 65); move = 1 
Avatar id: 1; (x,y) = (74, 62); move = 1 
Avatar id: 2; (x,y) = (61, 58); move = 2 
Avatar id: 3; (x,y) = (11, 83); move = 1 
Avatar id: 0; (x,y) = (1, 64); move = 0 
Avatar id: 1; (x,y) = (74, 61); move = 0 
Avatar id: 2; (x,y) = (61, 59); move = 3 
Avatar id: 3; (x,y) = (11, 82); move = 0 
Avatar id: 0; (x,y) = (1, 64); move = 1 
Avatar id: 1; (x,y) = (73, 61); move = 2 
Avatar id: 2; (x,y) = (62, 59); move = 1 
Avatar id: 3; (x,y) = (11, 82); move = 1 
Avatar id: 0; (x,y) = (1, 63); move = 0 
Avatar id: 1; (x,y) = (73, 62); move = 3 
Avatar id: 2; (x,y) = (62, 58); move = 0 
Avatar id: 3; (x,y) = (11, 81); move = 0 
Avatar id: 0; (x,y) = (0, 63); move = 2 
Avatar id: 1; (x,y) = (73, 62); move = 2 
Avatar id: 2; (x,y) = (62, 58); move = 1 
Avatar id: 3; (x,y) = (11, 81); move = 1 
Avatar id: 0; (x,y) = (0, 64); move = 3 
Avatar id: 1; (x,y) = (73, 62); move = 0 
Avatar id: 2; (x,y) = (62, 58); move = 3 
Avatar id: 3; (x,y) = (11, 81); move = 3 
Avatar id: 0; (x,y) = (0, 64); move = 2 
Avatar id: 1; (x,y) = (72, 62); move = 2 
Avatar id: 2; (x,y) = (63, 58); move = 1 
Avatar id: 3; (x,y) = (12, 81); move = 1 
Avatar id: 0; (x,y) = (0, 65); move = 3 
Avatar id: 1; (x,y) = (72, 63); move = 3 
Avatar id: 2; (x,y) = (63, 58); move = 3 
Avatar id: 3; (x,y) = (12, 80); move = 0 
Avatar id: 0; (x,y) = (0, 65); move = 2 
Avatar id: 1; (x,y) = (73, 63); move = 1 
Avatar id: 2; (x,y) = (63, 58); move = 2 
Avatar id: 3; (x,y) = (11, 80); move = 2 
Avatar id: 0; (x,y) = (0, 66); move = 3 
Avatar id: 1; (x,y) = (73, 63); move = 3 
Avatar id: 2; (x,y) = (63, 59); move = 3 
Avatar id: 3; (x,y) = (11, 80); move = 0 
Avatar id: 0; (x,y) = (0, 66); move = 2 
Avatar id: 1; (x,y) = (73, 63); move = 2 
Avatar id: 2; (x,y) = (63, 59); move = 2 
Avatar id: 3; (x,y) = (10, 80); move = 2 
Avatar id: 0; (x,y) = (0, 67); move = 3 
Avatar id: 1; (x,y) = (73, 63); move = 0 
Avatar id: 2; (x,y) = (63, 60); move = 3 
Avatar id: 3; (x,y) = (10, 80); move = 0 
Avatar id: 0; (x,y) = (0, 67); move = 2 
Avatar id: 1; (x,y) = (72, 63); move = 2 
Avatar id: 2; (x,y) = (63, 60); move = 2 
Avatar id: 3; (x,y) = (10, 80); move = 1 
Avatar id: 0; (x,y) = (0, 68); move = 3 
Avatar id: 1; (x,y) = (72, 64); move = 3 
Avatar id: 2; (x,y) = (63, 61); move = 3 
Avatar id: 3; (x,y) = (10, 79); move = 0 
Avatar id: 0; (x,y) = (0, 68); move = 2 
Avatar id: 1; (x,y) = (72, 64); move = 2 
Avatar id: 2; (x,y) = (64, 61); move = 1 
Avatar id: 3; (x,y) = (10, 79); move = 1 
Avatar id: 0; (x,y) = (0, 69); move = 3 
Avatar id: 1; (x,y) = (72, 65); move = 3 
Avatar id: 2; (x,y) = (64, 61); move = 3 
Avatar id: 3; (x,y) = (10, 78); move = 0 
Avatar id: 0; (x,y) = (1, 69); move = 1 
Avatar id: 1; (x,y) = (72, 65); move = 2 
Avatar id: 2; (x,y) = (65, 61); move = 1 
Avatar id: 3; (x,y) = (9, 78); move = 2 
Avatar id: 0; (x,y) = (1, 69); move = 3 
Avatar id: 1; (x,y) = (72, 65); move = 0 
Avatar id: 2; (x,y) = (65, 60); move = 0 
Avatar id: 3; (x,y) = (9, 78); move = 0 
Avatar id: 0; (x,y) = (1, 69); move = 2 
Avatar id: 1; (x,y) = (72, 65); move = 1 
Avatar id: 2; (x,y) = (65, 60); move = 1 
Avatar id: 3; (x,y) = (9, 78); move = 1 
Avatar id: 0; (x,y) = (1, 70); move = 3 
Avatar id: 1; (x,y) = (72, 64); move = 0 
Avatar id: 2; (x,y) = (65, 59); move = 0 
Avatar id: 3; (x,y) = (9, 77); move = 0 
Avatar id: 0; (x,y) = (1, 70); move = 2 
Avatar id: 1; (x,y) = (72, 64); move = 1 
Avatar id: 2; (x,y) = (65, 59); move = 1 
Avatar id: 3; (x,y) = (8, 77); move = 2 
Avatar id: 0; (x,y) = (1, 70); move = 0 
Avatar id: 1; (x,y) = (72, 63); move = 0 
Avatar id: 2; (x,y) = (65, 58); move = 0 
Avatar id: 3; (x,y) = (8, 77); move = 0 
Avatar id: 0; (x,y) = (0, 70); move = 2 
Avatar id: 1; (x,y) = (72, 63); move = 1 
Avatar id: 2; (x,y) = (65, 58); move = 1 
Avatar id: 3; (x,y) = (8, 77); move = 1 
Avatar id: 0; (x,y) = (0, 71); move = 3 
Avatar id: 1; (x,y) = (72, 62); move = 0 
Avatar id: 2; (x,y) = (65, 58); move = 3 
Avatar id: 3; (x,y) = (8, 76); move = 0 
Avatar id: 0; (x,y) = (1, 71); move = 1 
Avatar id: 1; (x,y) = (72, 62); move = 1 
Avatar id: 2; (x,y) = (66, 58); move = 1 
Avatar id: 3; (x,y) = (8, 76); move = 1 
Avatar id: 0; (x,y) = (1, 71); move = 3 
Avatar id: 1; (x,y) = (72, 61); move = 0 
Avatar id: 2; (x,y) = (66, 58); move = 3 
Avatar id: 3; (x,y) = (8, 76); move = 3 
Avatar id: 0; (x,y) = (1, 71); move = 2 
Avatar id: 1; (x,y) = (72, 61); move = 1 
Avatar id: 2; (x,y) = (67, 58); move = 1 
Avatar id: 3; (x,y) = (9, 76); move = 1 
Avatar id: 0; (x,y) = (1, 72); move = 3 
Avatar id: 1; (x,y) = (72, 60); move = 0 
Avatar id: 2; (x,y) = (67, 58); move = 3 
Avatar id: 3; (x,y) = (9, 76); move = 3 
Avatar id: 0; (x,y) = (2, 72); move = 1 
Avatar id: 1; (x,y) = (71, 60); move = 2 
Avatar id: 2; (x,y) = (68, 58); move = 1 
Avatar id: 3; (x,y) = (9, 76); move = 2 
Avatar id: 0; (x,y) = (2, 72); move = 3 
Avatar id: 1; (x,y) = (71, 60); move = 0 
Avatar id: 2; (x,y) = (68, 57); move = 0 
Avatar id: 3; (x,y) = (9, 76); move = 0 
Avatar id: 0; (x,y) = (3, 72); move = 1 
Avatar id: 1; (x,y) = (70, 60); move = 2 
Avatar id: 2; (x,y) = (68, 57); move = 1 
Avatar id: 3; (x,y) = (8, 76); move = 2 
Avatar id: 0; (x,y) = (3, 71); move = 0 
Avatar id: 1; (x,y) = (70, 60); move = 0 
Avatar id: 2; (x,y) = (68, 57); move = 3 
Avatar id: 3; (x,y) = (8, 77); move = 3 
Avatar id: 0; (x,y) = (3, 71); move = 1 
Avatar id: 1; (x,y) = (70, 60); move = 1 
Avatar id: 2; (x,y) = (69, 57); move = 1 
Avatar id: 3; (x,y) = (9, 77); move = 1 
Avatar id: 0; (x,y) = (3, 70); move = 0 
Avatar id: 1; (x,y) = (70, 60); move = 3 
Avatar id: 2; (x,y) = (69, 56); move = 0 
Avatar id: 3; (x,y) = (9, 77); move = 3 
Avatar id: 0; (x,y) = (3, 70); move = 1 
Avatar id: 1; (x,y) = (71, 60); move = 1 
Avatar id: 2; (x,y) = (68, 56); move = 2 
Avatar id: 3; (x,y) = (9, 77); move = 2 
Avatar id: 0; (x,y) = (3, 69); move = 0 
Avatar id: 1; (x,y) = (71, 60); move = 3 
Avatar id: 2; (x,y) = (68, 56); move = 0 
Avatar id: 3; (x,y) = (9, 78); move = 3 
Avatar id: 0; (x,y) = (2, 69); move = 2 
Avatar id: 1; (x,y) = (72, 60); move = 1 
Avatar id: 2; (x,y) = (68, 56); move = 1 
Avatar id: 3; (x,y) = (10, 78); move = 1 
Avatar id: 0; (x,y) = (2, 70); move = 3 
Avatar id: 1; (x,y) = (72, 59); move = 0 
Avatar id: 2; (x,y) = (68, 55); move = 0 
Avatar id: 3; (x,y) = (10, 78); move = 3 
Avatar id: 0; (x,y) = (2, 70); move = 2 
Avatar id: 1; (x,y) = (72, 59); move = 1 
Avatar id: 2; (x,y) = (68, 55); move = 1 
Avatar id: 3; (x,y) = (11, 78); move = 1 
Avatar id: 0; (x,y) = (2, 71); move = 3 
Avatar id: 1; (x,y) = (72, 59); move = 3 
Avatar id: 2; (x,y) = (68, 55); move = 3 
Avatar id: 3; (x,y) = (11, 78); move = 3 
Avatar id: 0; (x,y) = (2, 71); move = 2 
Avatar id: 1; (x,y) = (73, 59); move = 1 
Avatar id: 2; (x,y) = (69, 55); move = 1 
Avatar id: 3; (x,y) = (11, 78); move = 2 
Avatar id: 0; (x,y) = (2, 71); move = 0 
Avatar id: 1; (x,y) = (73, 59); move = 3 
Avatar id: 2; (x,y) = (69, 54); move = 0 
Avatar id: 3; (x,y) = (11, 78); move = 0 
Avatar id: 0; (x,y) = (2, 71); move = 1 
Avatar id: 1; (x,y) = (74, 59); move = 1 
Avatar id: 2; (x,y) = (68, 54); move = 2 
Avatar id: 3; (x,y) = (10, 78); move = 2 
Avatar id: 0; (x,y) = (2, 70); move = 0 
Avatar id: 1; (x,y) = (74, 59); move = 3 
Avatar id: 2; (x,y) = (68, 54); move = 0 
Avatar id: 3; (x,y) = (10, 79); move = 3 
Avatar id: 0; (x,y) = (2, 70); move = 1 
Avatar id: 1; (x,y) = (75, 59); move = 1 
Avatar id: 2; (x,y) = (67, 54); move = 2 
Avatar id: 3; (x,y) = (11, 79); move = 1 
Avatar id: 0; (x,y) = (2, 69); move = 0 
Avatar id: 1; (x,y) = (75, 58); move = 0 
Avatar id: 2; (x,y) = (67, 55); move = 3 
Avatar id: 3; (x,y) = (11, 79); move = 3 
Avatar id: 0; (x,y) = (2, 69); move = 1 
Avatar id: 1; (x,y) = (74, 58); move = 2 
Avatar id: 2; (x,y) = (67, 55); move = 2 
